"Category","Name","Description","Type","Index"
"Input","SADuctPressPID","Supply Duct Static Pressure PID","PidLoop","1"
"Input","OccSts","Occupancy Status","MultiStateValue","1"
"Input","OATemp","Outside Air Temperature","AnalogValue","1"
"Input","SATempClgPID","Supply Air Temperature Cooling PID","PidLoop","2"
"Input","OAHum","Outside Air Humidity","AnalogValue","2"
"Input","BldgPressPid","Building Pressure PID","PidLoop","3"
"Input","SADuctPressPIDKp","Proportional Constant","AnalogValue","4"
"Input","EconMATLowLimitPid","Mixed Air Temperature Low Limit Contrl PID for Economizer Operation","PidLoop","5"
"Input","SADuctPressPIDKi","Integral Constant","AnalogValue","5"
"Input","SATempClgPIDKp","Proportional Constant for Supply Temperature Cooling PID","AnalogValue","8"
"Input","SATempClgPIDKi","Integral Constant for Supply Temperature Cooling PID","AnalogValue","9"
"Input","SFFailAlrm","","BinaryValue","10"
"Input","SFHandAlrm","","BinaryValue","11"
"Input","EconMode","Economizer Mode","BinaryValue","12"
"Input","OAEnth","Outside Air Enthalpy","AnalogValue","12"
"Input","BldgPressPidKp","Proportional Constant","AnalogValue","16"
"Input","BldgPressPidKi","Integral Constant","AnalogValue","17"
"Input","EconMATemploLimPidKp","Proportional Constant","AnalogValue","18"
"Input","EconMATempLow LimitPidKi","Integral Constant","AnalogValue","22"
"Input","SATemp","Supply Air Temperature","HardwareInput","101"
"Input","MATemp","Mixed Air Temperature","HardwareInput","102"
"Input","RATemp","Return Air Temperature","HardwareInput","103"
"Input","RACO2","Return Air CO2","HardwareInput","104"
"Input","FltrDiffPress","Filter Differential Pressure","HardwareInput","105"
"Input","SADuctPress","Supply Air Duct Pressure ","HardwareInput","106"
"Input","FrzstatAlrm","Freezestat Alarm","HardwareInput","109"
"Input","RASmkAlrm","Return Air Smoke Alarm","HardwareInput","110"
"Input","BldgPress","Building Pressure","HardwareInput","111"
"Output","OccCmd","Occupied Command","BinaryValue","1"
"Output","NHLCmd","Night High Limit Command","BinaryValue","2"
"Output","NLLCmd","Night Low Limit Command","BinaryValue","3"
"Output","SFOffDly","Supply Fan Off Delay","AnalogValue","3"
"Output","WarmupCmd","Warmup Command","BinaryValue","4"
"Output","CooldownCmd","Cooldown Command","BinaryValue","5"
"Output","EffSysEnbl","Effective System Enable","BinaryValue","6"
"Output","UnitShtdwnCmd","Unit Shutdown Command","BinaryValue","7"
"Output","AftrHrsCmd","After Hours Command","BinaryValue","8"
"Output","EffDmprEnbl","Effective Damper Enable","BinaryValue","9"
"Output","SFAlrmDly","Supply Fan Alarm Delay","AnalogValue","10"
"Output","SFCmd","Supply Fan Command","HardwareOutput","101"
"Output","SFSpd","Supply Fan Speed Signal","HardwareOutput","102"
"Output","OADmpr","Outside Air Damper Command","HardwareOutput","103"
"Output","RADmpr","Return Air Damper Command","HardwareOutput","104"
"Output","RlfDmpr","Relief Air Damper Command","HardwareOutput","105"
"Output","CHWVlv","Chilled Water Valve Command","HardwareOutput","106"
"Output","SFSts","Supply Fan Status","HardwareInput","107"
"Output","SFHiStatAlrm","Supply Fan High Static Alarm","HardwareInput","108"
"Setpoint","SFMinSpdStpt","Supply Fan Minimum Speed Setpoint","AnalogValue","6"
"Setpoint","SADuctPressStpt","Supply Air Duct Static Pressure Setpoint","AnalogValue","7"
"Setpoint","SATempStpt","Supply Air Duct Temperature Setpoint","AnalogValue","11"
"Setpoint","EconEnblOAEnthStpt","Outside Air Enthalpy Setpoint for Economizer Operation","AnalogValue","13"
"Setpoint","EconEnblOATempStpt","Econ mode Enable OA Temperature Setpoint","AnalogValue","14"
"Setpoint","BldgPressStpt","Room Pressure Setpoint","AnalogValue","15"
"Setpoint","OADmprMinPosStpt","Outside AIr Minimum Position Setpoint","AnalogValue","19"
"Setpoint","RlfDmprDisblOATempStpt","Relief damper Disable OA Temperature Setpoint","AnalogValue","20"
"Setpoint","NHLEnblOATempStpt","NHL Enable OA Temperature Setpoint","AnalogValue","21"
"Setpoint","MATempLoLimStpt","Mixed Air Temperature Low Limit Setpoint","AnalogValue","23"
